"Região Habilitação Atual,""UF Habilitação Atual"",""Sexo"",""Faixa Etária"",""Categoria"",""Qt. Condutor Histórico"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""81 a 90"",""B-Condutor Carro"",""6.224"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""81 a 90"",""C-Condutor Caminhão"",""4"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""81 a 90"",""D-Condutor Ônibus"",""15"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""91 a 100"",""AB-Condutor Moto/Carro"",""1"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""91 a 100"",""B-Condutor Carro"",""1.052"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""101 a 120"",""B-Condutor Carro"",""58"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""101 a 120"",""E-Condutor Carreta"",""1"""
"Centro-Oeste,""Goiás"",""Masculino"",""18 a 21"",""A-Condutor Moto"",""1.954"""
"Centro-Oeste,""Goiás"",""Masculino"",""18 a 21"",""AB-Condutor Moto/Carro"",""48.435"""
"Centro-Oeste,""Goiás"",""Masculino"",""18 a 21"",""AC-Condutor Moto/Caminhão"",""183"""
"Centro-Oeste,""Goiás"",""Masculino"",""18 a 21"",""AD-Condutor Moto/Ônibus"",""126"""
"Centro-Oeste,""Goiás"",""Masculino"",""18 a 21"",""AE-Condutor Moto/Carreta"",""18"""
"Centro-Oeste,""Goiás"",""Masculino"",""18 a 21"",""B-Condutor Carro"",""15.131"""
"Centro-Oeste,""Goiás"",""Masculino"",""18 a 21"",""C-Condutor Caminhão"",""30"""
"Centro-Oeste,""Goiás"",""Masculino"",""18 a 21"",""D-Condutor Ônibus"",""5"""
"Centro-Oeste,""Goiás"",""Masculino"",""18 a 21"",""E-Condutor Carreta"",""3"""
"Centro-Oeste,""Goiás"",""Masculino"",""22 a 25"",""A-Condutor Moto"",""5.840"""
"Centro-Oeste,""Goiás"",""Masculino"",""22 a 25"",""AB-Condutor Moto/Carro"",""96.738"""
"Centro-Oeste,""Goiás"",""Masculino"",""22 a 25"",""AC-Condutor Moto/Caminhão"",""522"""
"Centro-Oeste,""Goiás"",""Masculino"",""22 a 25"",""AD-Condutor Moto/Ônibus"",""4.134"""
"Centro-Oeste,""Goiás"",""Masculino"",""22 a 25"",""AE-Condutor Moto/Carreta"",""657"""
"Centro-Oeste,""Goiás"",""Masculino"",""22 a 25"",""B-Condutor Carro"",""26.648"""
"Centro-Oeste,""Goiás"",""Masculino"",""22 a 25"",""C-Condutor Caminhão"",""54"""
"Centro-Oeste,""Goiás"",""Masculino"",""22 a 25"",""D-Condutor Ônibus"",""320"""
"Centro-Oeste,""Goiás"",""Masculino"",""22 a 25"",""E-Condutor Carreta"",""49"""
"Centro-Oeste,""Goiás"",""Masculino"",""26 a 30"",""A-Condutor Moto"",""10.913"""
"Centro-Oeste,""Goiás"",""Masculino"",""26 a 30"",""AB-Condutor Moto/Carro"",""131.243"""
"Centro-Oeste,""Goiás"",""Masculino"",""26 a 30"",""AC-Condutor Moto/Caminhão"",""1.327"""
"Centro-Oeste,""Goiás"",""Masculino"",""26 a 30"",""AD-Condutor Moto/Ônibus"",""15.604"""
"Centro-Oeste,""Goiás"",""Masculino"",""26 a 30"",""AE-Condutor Moto/Carreta"",""4.645"""
"Centro-Oeste,""Goiás"",""Masculino"",""26 a 30"",""B-Condutor Carro"",""32.182"""
"Centro-Oeste,""Goiás"",""Masculino"",""26 a 30"",""C-Condutor Caminhão"",""122"""
"Centro-Oeste,""Goiás"",""Masculino"",""26 a 30"",""D-Condutor Ônibus"",""1.008"""
"Centro-Oeste,""Goiás"",""Masculino"",""26 a 30"",""E-Condutor Carreta"",""222"""
"Centro-Oeste,""Goiás"",""Masculino"",""31 a 40"",""A-Condutor Moto"",""22.106"""
